,open,high,low,close,volume,time,BB,A,g_buy,g_sell,pos,trade
2025-07-16,59.21,61.6,58.85,60.7,66668,1752595200000,60.27118335368335,60.307,1,0,0,
2025-07-17,60.199999999999996,63.96,59.44,63.559999999999995,95144,1752681600000,60.66684981684982,62.516,0,0,1,BUY
2025-07-18,63.55,63.78,62.18,62.53,43603,1752768000000,61.065700040700044,62.824,0,0,1,
2025-07-21,62.88,63.45,62.09,62.540000000000006,36092,1753027200000,61.45799959299959,62.653999999999996,0,0,1,
2025-07-22,62.800000000000004,63.52,61.230000000000004,61.50000000000001,57115,1753113600000,61.252487789987796,61.93500000000002,0,0,1,
2025-07-23,61.58,62.48,60.83,61.629999999999995,46671,1753200000000,61.250074277574285,61.625,0,0,1,
2025-07-24,61.4,63.339999999999996,61.4,63.129999999999995,56473,1753286400000,61.52531135531135,62.63199999999999,0,0,1,
2025-07-25,62.73,63.1,61.93,62.89,44194,1753372800000,61.731360398860396,62.783,0,0,1,
2025-07-28,62.82,64.2,62.08,63.65,59035,1753632000000,61.9798026048026,63.38199999999999,0,0,1,
2025-07-29,63.8,63.95,61.89,62.45,58949,1753718400000,62.02769332519333,62.81400000000001,0,0,1,
2025-07-30,62.55,63.7,60.0,60.38,79789,1753804800000,61.774937932437936,61.108000000000004,0,1,1,
2025-07-31,60.1,61.5,58.74,59.1,72433,1753891200000,61.324836182336185,59.504,0,0,0,SELL
2025-08-01,59.0,62.84,58.5,60.66,79265,1753977600000,61.20463064713064,60.33,0,0,0,
2025-08-04,60.4,63.55,60.15,62.85,94016,1754236800000,61.499680504680505,62.160000000000004,1,0,0,
2025-08-05,63.9,68.2,63.5,67.87,186502,1754323200000,62.575144485144484,66.672,0,0,1,BUY
2025-08-06,68.0,68.14,66.38,67.14999999999999,111041,1754409600000,63.40010175010175,67.342,0,0,1,
2025-08-07,69.5,70.5,66.77,67.02,107232,1754496000000,64.08206247456248,67.839,0,0,1,
2025-08-08,66.94,69.5,65.28,66.78,130056,1754582400000,64.41680199430199,66.934,0,0,1,
2025-08-11,68.67999999999999,71.44999999999999,68.1,70.67999999999999,149884,1754841600000,65.34098595848596,70.09899999999999,0,0,1,
2025-08-12,70.0,71.25,68.9,70.4,101971,1754928000000,66.18439153439154,70.255,0,0,1,
2025-08-13,71.88,75.29,70.0,70.02,156674,1755014400000,66.92924501424501,70.917,0,0,1,
2025-08-14,70.82,74.21,68.3,73.07,155998,1755100800000,67.57463166463167,72.25699999999999,0,0,1,
2025-08-15,72.2,76.55,72.17,74.60000000000001,140808,1755187200000,68.53713471713473,74.072,0,0,1,
2025-08-18,77.0,78.0,74.83,76.67999999999999,115911,1755446400000,69.90411477411476,76.69099999999999,0,0,1,
2025-08-19,76.97,78.96000000000001,75.2,77.0,105772,1755532800000,71.09158628408629,77.01,0,0,1,
2025-08-20,77.97,85.49,77.02,80.77,147978,1755619200000,72.54700752950752,80.30699999999999,0,0,1,
2025-08-21,80.25,82.47,77.79,78.2,111468,1755705600000,73.4254008954009,78.99600000000001,0,0,1,
2025-08-22,77.0,79.66,76.74,77.28999999999999,112209,1755792000000,74.04397537647537,77.41399999999999,0,0,1,
2025-08-25,77.29,80.38000000000001,77.29,79.60000000000001,114879,1756051200000,74.56763125763125,78.985,0,0,1,
2025-08-26,79.21000000000001,80.88,78.03,79.1,95157,1756137600000,75.18907916157916,79.19300000000001,0,0,1,
2025-08-27,79.88000000000001,83.85000000000001,79.48,79.67,127553,1756224000000,75.90069393569394,80.111,0,0,1,
2025-08-28,81.99,82.8,79.69,81.91,123297,1756310400000,76.67349409849409,81.793,0,0,1,
2025-08-29,81.53,81.53,77.77,79.5,126490,1756396800000,77.00193325193325,79.936,0,0,1,
2025-09-01,79.60000000000001,83.2,79.60000000000001,82.18,101924,1756656000000,77.76347781847782,81.50800000000001,0,0,1,
2025-09-02,81.6,81.6,74.02,75.5,158666,1756742400000,77.32887260887262,77.18199999999999,0,1,1,
2025-09-03,75.5,76.0,72.3,72.69,94865,1756828800000,76.56155982905983,73.54400000000001,0,0,0,SELL
2025-09-04,73.49,75.72,69.5,71.0,88847,1756915200000,75.31054334554335,71.82000000000001,0,0,0,
2025-09-05,71.2,73.46,70.72,73.0,67349,1757001600000,74.9039245014245,72.458,0,0,0,
2025-09-08,75.2,77.35000000000001,73.85000000000001,75.04,93396,1757260800000,74.89180097680098,73.39396495726496,0,0,0,
2025-09-09,74.38,76.0,72.72,72.95,64949,1757347200000,74.83320716320716,73.518,0,0,0,
2025-09-10,72.80000000000001,75.46000000000001,72.15,72.7,70395,1757433600000,74.47257020757021,72.941,0,0,0,
2025-09-11,72.08,75.46000000000001,71.76,74.96000000000001,78722,1757520000000,74.42303520553521,74.114,0,0,0,
2025-09-12,74.44,76.58,74.05,74.72,66723,1757606400000,74.62889702889703,73.13631908831908,0,0,0,
2025-09-15,74.28,75.0,73.73,73.79,55788,1757865600000,74.76898148148149,74.003,0,0,0,
2025-09-16,75.21,79.86,74.3,77.1,120594,1757952000000,75.09679894179894,76.71799999999999,0,0,0,
2025-09-17,77.13,79.22,75.58,78.19,81255,1758038400000,75.54281033781034,77.82000000000001,0,0,0,
2025-09-18,78.25,84.36,77.67,80.4,135737,1758124800000,76.41807692307692,80.093,0,0,0,
2025-09-19,82.00000000000001,83.47000000000001,77.10000000000001,77.55000000000001,90351,1758211200000,76.73793650793652,78.98700000000001,0,0,0,
2025-09-22,77.72999999999999,80.13,76.38,77.19999999999999,82496,1758470400000,76.86040801790801,77.51699999999998,0,0,0,
2025-09-23,77.22,78.07,72.3,74.86,81416,1758556800000,76.48037952787953,75.397,0,1,0,
2025-09-24,74.0,75.1,73.25,74.75,46267,1758643200000,76.29711538461538,74.485,0,0,0,
2025-09-25,74.64,79.0,74.22,77.4,91490,1758729600000,76.37358465608466,76.69000000000001,1,0,0,
2025-09-26,77.2,77.65,74.5,74.96,54308,1758816000000,76.25141839641839,77.77644676434676,0,0,1,BUY
2025-09-29,75.19,76.09,74.36,75.87,42100,1759075200000,76.22235347985348,77.74680054945055,0,0,1,
2025-09-30,76.01,77.1,75.14,76.33,47038,1759161600000,76.10707264957264,77.62921410256409,0,0,1,
2025-10-09,76.6,78.06,75.86,76.31,60218,1759939200000,76.1879008954009,77.71165891330892,0,0,1,
2025-10-10,76.25999999999999,76.74,72.02,72.25,72012,1760025600000,75.69997863247863,73.478,0,1,1,
2025-10-13,69.68,71.88000000000001,69.4,71.23,60252,1760284800000,74.9582315832316,70.80199999999999,0,0,0,SELL
2025-10-14,71.63000000000001,72.33000000000001,68.68,69.37,61584,1760371200000,73.80738603988604,70.049,0,0,0,
2025-10-15,69.36,72.84,68.61,72.21,61278,1760457600000,73.48083842083842,71.34299999999999,0,0,0,
2025-10-16,71.74,72.41,70.0,70.1,38204,1760544000000,72.92547924297924,70.649,0,0,0,
2025-10-17,70.10000000000001,70.49000000000001,66.4,66.65,52740,1760630400000,72.06826923076923,67.699,0,0,0,
2025-10-20,68.0,69.36,66.8,67.55,45557,1760889600000,71.17890923890924,67.746,0,0,0,
2025-10-21,67.86999999999999,69.99,67.6,69.19,47594,1760976000000,70.87010785510788,68.847,0,0,0,
2025-10-22,68.79,69.47,68.0,68.24,27801,1761062400000,70.67559422059423,68.449,0,0,0,
2025-10-23,68.0,68.21000000000001,66.59,67.75,36609,1761148800000,70.4282498982499,67.72999999999999,0,0,0,
2025-10-24,68.51,72.0,68.51,70.98,57343,1761235200000,70.4212087912088,70.341,0,0,0,
